City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,atafu village,-8.5421,-172.5159,28.88,72,55,8.6,TK,1690254896
1,longyearbyen,78.2186,15.6401,9.91,76,75,4.12,SJ,1690254872
2,san patricio,28.017,-97.5169,30.1,69,49,5.06,US,1690254885
3,kayangel,8.0823,134.7173,28.58,74,99,4.16,PW,1690254977
4,ebaye,8.7748,167.7392,32.01,62,40,5.66,MH,1690254854
5,blackmans bay,-43.0167,147.3167,13.18,62,100,1.41,AU,1690254876
6,cabo san lucas,22.8909,-109.9124,32.01,75,75,4.63,MX,1690254758
7,flying fish cove,-10.4217,105.6791,25.82,83,100,5.14,CX,1690254864
8,kodiak,57.79,-152.4072,14.73,67,0,5.14,US,1690254573
9,tazovsky,67.4667,78.7,17.15,77,24,3.6,RU,1690254880
10,yellowknife,62.456,-114.3525,24.29,41,75,5.66,CA,1690254876
11,pedernales,18.0384,-71.744,28.17,68,96,2.65,DO,1690255016
12,west island,-12.1568,96.8225,25.99,69,100,8.75,CC,1690254867
13,ust-nera,64.5667,143.2,19.19,71,99,0.65,RU,1690254883
14,puerto leguizamo,-0.1934,-74.7819,23.34,83,100,0.11,CO,1690255016
15,tiksi,71.6872,128.8694,5.66,75,97,2.84,RU,1690254867
16,lebu,-37.6167,-73.65,12.57,90,100,6.49,CL,1690254875
17,isafjordur,66.0755,-23.124,9.0,96,100,3.05,IS,1690254868
18,magumeri,12.1131,12.8274,27.34,56,18,4.22,NG,1690255017
19,port-aux-francais,-49.35,70.2167,3.39,65,100,9.35,TF,1690254867
20,uturoa,-16.7333,-151.4333,26.81,83,11,6.17,PF,1690254946
21,ilulissat,69.2167,-51.1,6.01,87,29,0.0,GL,1690254871
22,ushuaia,-54.8,-68.3,-1.19,69,0,1.03,AR,1690254873
23,waitangi,-43.9535,-176.5597,12.12,98,100,1.34,NZ,1690254865
24,lira,2.235,32.9097,17.77,95,99,0.2,UG,1690255017
25,codrington,-38.2667,141.9667,14.06,63,7,1.79,AU,1690254886
26,scarborough,54.2797,-0.4044,10.92,87,100,1.42,GB,1690254786
